date,computer,parts_filename,filename,size,duration
2020-03-10 21:05:11,2,"['1583870711', 'hubu', 'fis', '2']",hubu-fis-2_video_1583870711.mp4,174655344,1781
2020-02-06 13:37:44,1,"['1580992664', 'hubu', 'fis', '1']",hubu-fis-1_video_1580992664.mp4,30182074,407
2020-02-10 12:49:02,1,"['1581335342', 'hubu', 'fis', '1']",hubu-fis-1_video_1581335342.mp4,12758814,59
2020-02-07 12:39:10,1,"['1581075550', 'hubu', 'fis', '1']",hubu-fis-1_video_1581075550.mp4,177149691,1410
2020-03-12 12:20:43,8,"['1584012043', 'hubu', 'fis', '8']",hubu-fis-8_video_1584012043.mp4,10177212,119
2020-03-11 13:20:41,2,"['1583929241', 'hubu', 'fis', '2']",hubu-fis-2_video_1583929241.mp4,30551462,295
2020-03-10 21:21:49,3,"['1583871709', 'hubu', 'fis', '3']",hubu-fis-3_video_1583871709.mp4,26168691,236
2020-02-06 12:04:01,1,"['1580987041', 'hubu', 'fis', '1']",hubu-fis-1_video_1580987041.mp4,11175011,119
2020-03-12 11:12:34,5,"['1584007954', 'hubu', 'fis', '5']",hubu-fis-5_video_1584007954.mp4,126598746,2091
2020-02-05 12:00:22,1,"['1580900422', 'hubu', 'fis', '1']",hubu-fis-1_video_1580900422.mp4,24648525,296
2020-03-10 21:00:30,3,"['1583870430', 'hubu', 'fis', '3']",hubu-fis-3_video_1583870430.mp4,25927846,178
2020-03-10 21:25:44,3,"['1583871944', 'hubu', 'fis', '3']",hubu-fis-3_video_1583871944.mp4,6735307,59
2020-03-11 13:39:46,1,"['1583930386', 'hubu', 'fis', '1']",hubu-fis-1_video_1583930386.mp4,6856640,59
2020-03-11 13:10:10,3,"['1583928610', 'hubu', 'fis', '3']",hubu-fis-3_video_1583928610.mp4,5827528,59
2020-03-04 13:35:19,1,"['1583325319', 'hubu', 'fis', '1']",hubu-fis-1_video_1583325319.mp4,492947630,3814
2020-02-07 13:15:28,1,"['1581077728', 'hubu', 'fis', '1']",hubu-fis-1_video_1581077728.mp4,52106086,595
2020-06-11 13:19:44,2,"['1591874384', 'hubu', 'fis', '2']",hubu-fis-2_video_1591874384.mp4,29696076,183
2020-03-11 13:49:49,4,"['1583930989', 'hubu', 'fis', '4']",hubu-fis-4_video_1583930989.mp4,15119129,177
2020-03-12 11:56:36,6,"['1584010596', 'hubu', 'fis', '6']",hubu-fis-6_video_1584010596.mp4,74592372,835
2020-03-11 13:29:07,1,"['1583929747', 'hubu', 'fis', '1']",hubu-fis-1_video_1583929747.mp4,9580106,117
2020-02-06 13:37:51,1,"['1580992671', 'hubu', 'fis', '1']",hubu-fis-1_video_1580992671.mp4,30182074,407
2020-02-05 12:38:50,1,"['1580902730', 'hubu', 'fis', '1']",hubu-fis-1_video_1580902730.mp4,27965543,239
2020-03-12 12:10:23,7,"['1584011423', 'hubu', 'fis', '7']",hubu-fis-7_video_1584011423.mp4,9047055,119
2020-02-07 11:58:51,1,"['1581073131', 'hubu', 'fis', '1']",hubu-fis-1_video_1581073131.mp4,5325917,59
2020-03-10 21:14:16,3,"['1583871256', 'hubu', 'fis', '3']",hubu-fis-3_video_1583871256.mp4,32682444,238
2020-03-11 12:47:34,1,"['1583927254', 'hubu', 'fis', '1']",hubu-fis-1_video_1583927254.mp4,7494517,58
2020-06-12 13:16:36,2,"['1591960596', 'hubu', 'fis', '2']",hubu-fis-2_video_1591960596.mp4,114527703,891
2020-07-20 10:52:24,3,"['1595235144', 'hubu', 'fis', '3']",hubu-fis-3_video_1595235144.mp4,673972272,
